saffl,trtemfl,aesoc,aedecod,trta,procedure,factor,denominator,measure,unit
Y,Y,GENERAL DISORDERS AND ADMINISTRA,FATIGUE,Xanomeline High Dose,count,quantify,_ALL_,5,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,FATIGUE,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,5,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,FATIGUE,Xanomeline Low Dose,count,quantify,_ALL_,5,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,FEELING ABNORMAL,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,FEELING ABNORMAL,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,FEELING COLD,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,FEELING COLD,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,INFLAMMATION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,INFLAMMATION,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,MALAISE,Xanomeline High Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,MALAISE,Xanomeline High Dose,count,quantify,_ALL_,3,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,MALAISE,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,MALAISE,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,OEDEMA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,OEDEMA,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,OEDEMA PERIPHERAL,Placebo,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,OEDEMA PERIPHERAL,Placebo,count,quantify,_ALL_,3,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,OEDEMA PERIPHERAL,Xanomeline High Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,OEDEMA PERIPHERAL,Xanomeline High Dose,count,quantify,_ALL_,3,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,OEDEMA PERIPHERAL,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,OEDEMA PERIPHERAL,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,PAIN,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,PAIN,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,PAIN,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,PAIN,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,PYREXIA,Placebo,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,PYREXIA,Placebo,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,PYREXIA,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,PYREXIA,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,SECRETION DISCHARGE,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,SECRETION DISCHARGE,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,SUDDEN DEATH,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,SUDDEN DEATH,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,SWELLING,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,SWELLING,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,ULCER,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,ULCER,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,HEPATOBILIARY DISORDERS,HYPERBILIRUBINAEMIA,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,HEPATOBILIARY DISORDERS,HYPERBILIRUBINAEMIA,Placebo,count,quantify,_ALL_,1,
Y,Y,IMMUNE SYSTEM DISORDERS,HYPERSENSITIVITY,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,IMMUNE SYSTEM DISORDERS,HYPERSENSITIVITY,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,BRONCHITIS,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,BRONCHITIS,Placebo,count,quantify,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,CELLULITIS,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,CELLULITIS,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,CERVICITIS,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,CERVICITIS,Placebo,count,quantify,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,CYSTITIS,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,CYSTITIS,Placebo,count,quantify,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,CYSTITIS,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,CYSTITIS,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,EAR INFECTION,Placebo,countdistinct,usubjid,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,EAR INFECTION,Placebo,count,quantify,_ALL_,4,
Y,Y,INFECTIONS AND INFESTATIONS,GASTROENTERITIS VIRAL,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,GASTROENTERITIS VIRAL,Placebo,count,quantify,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,HORDEOLUM,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,HORDEOLUM,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,INFLUENZA,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,INFLUENZA,Placebo,count,quantify,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,INFLUENZA,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,INFLUENZA,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,INFLUENZA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,INFLUENZA,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,LOCALISED INFECTION,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,LOCALISED INFECTION,Placebo,count,quantify,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,LOWER RESPIRATORY TRACT INFECTIO,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,LOWER RESPIRATORY TRACT INFECTIO,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,NASOPHARYNGITIS,Placebo,countdistinct,usubjid,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,NASOPHARYNGITIS,Placebo,count,quantify,_ALL_,4,
Y,Y,INFECTIONS AND INFESTATIONS,NASOPHARYNGITIS,Xanomeline High Dose,countdistinct,usubjid,_ALL_,6,
Y,Y,INFECTIONS AND INFESTATIONS,NASOPHARYNGITIS,Xanomeline High Dose,count,quantify,_ALL_,8,
Y,Y,INFECTIONS AND INFESTATIONS,NASOPHARYNGITIS,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,4,
Y,Y,INFECTIONS AND INFESTATIONS,NASOPHARYNGITIS,Xanomeline Low Dose,count,quantify,_ALL_,9,
Y,Y,INFECTIONS AND INFESTATIONS,PNEUMONIA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,PNEUMONIA,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,RHINITIS,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,RHINITIS,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,UPPER RESPIRATORY TRACT INFECTIO,Placebo,countdistinct,usubjid,_ALL_,6,
Y,Y,INFECTIONS AND INFESTATIONS,UPPER RESPIRATORY TRACT INFECTIO,Placebo,count,quantify,_ALL_,12,
Y,Y,INFECTIONS AND INFESTATIONS,UPPER RESPIRATORY TRACT INFECTIO,Xanomeline High Dose,countdistinct,usubjid,_ALL_,3,
Y,Y,INFECTIONS AND INFESTATIONS,UPPER RESPIRATORY TRACT INFECTIO,Xanomeline High Dose,count,quantify,_ALL_,5,
Y,Y,INFECTIONS AND INFESTATIONS,UPPER RESPIRATORY TRACT INFECTIO,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,UPPER RESPIRATORY TRACT INFECTIO,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,URINARY TRACT INFECTION,Placebo,countdistinct,usubjid,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,URINARY TRACT INFECTION,Placebo,count,quantify,_ALL_,4,
Y,Y,INFECTIONS AND INFESTATIONS,URINARY TRACT INFECTION,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,URINARY TRACT INFECTION,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,VAGINAL MYCOSIS,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,VAGINAL MYCOSIS,Placebo,count,quantify,_ALL_,2,
Y,Y,INFECTIONS AND INFESTATIONS,VIRAL INFECTION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INFECTIONS AND INFESTATIONS,VIRAL INFECTION,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",CONTUSION,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",CONTUSION,Placebo,count,quantify,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",CONTUSION,Xanomeline High Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",CONTUSION,Xanomeline High Dose,count,quantify,_ALL_,3,
Y,Y,"INJURY, POISONING AND PROCEDURAL",CONTUSION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",CONTUSION,Xanomeline Low Dose,count,quantify,_ALL_,3,
Y,Y,"INJURY, POISONING AND PROCEDURAL",EXCORIATION,Placebo,countdistinct,usubjid,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",EXCORIATION,Placebo,count,quantify,_ALL_,3,
Y,Y,"INJURY, POISONING AND PROCEDURAL",EXCORIATION,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",EXCORIATION,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",EXCORIATION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",EXCORIATION,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",FACIAL BONES FRACTURE,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",FACIAL BONES FRACTURE,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",FALL,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",FALL,Placebo,count,quantify,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",FALL,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",FALL,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",FALL,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",FALL,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",HIP FRACTURE,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",HIP FRACTURE,Placebo,count,quantify,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",HIP FRACTURE,Xanomeline High Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",HIP FRACTURE,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",JOINT DISLOCATION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",JOINT DISLOCATION,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",SKIN LACERATION,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",SKIN LACERATION,Placebo,count,quantify,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",SKIN LACERATION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",SKIN LACERATION,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,"INJURY, POISONING AND PROCEDURAL",WOUND,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,"INJURY, POISONING AND PROCEDURAL",WOUND,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,INVESTIGATIONS,BIOPSY,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,BIOPSY,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,BIOPSY PROSTATE,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,BIOPSY PROSTATE,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,BLOOD ALKALINE PHOSPHATASE INCRE,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,BLOOD ALKALINE PHOSPHATASE INCRE,Placebo,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,BLOOD CHOLESTEROL INCREASED,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,BLOOD CHOLESTEROL INCREASED,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,BLOOD CREATINE PHOSPHOKINASE INC,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,BLOOD CREATINE PHOSPHOKINASE INC,Placebo,count,quantify,_ALL_,2,
Y,Y,INVESTIGATIONS,BLOOD GLUCOSE INCREASED,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,BLOOD GLUCOSE INCREASED,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,INVESTIGATIONS,BLOOD GLUCOSE INCREASED,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,BLOOD GLUCOSE INCREASED,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,BLOOD URINE PRESENT,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,BLOOD URINE PRESENT,Placebo,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,BODY TEMPERATURE INCREASED,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,BODY TEMPERATURE INCREASED,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,CYSTOSCOPY,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,CYSTOSCOPY,Placebo,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM ST SEGMENT DEP,Placebo,countdistinct,usubjid,_ALL_,4,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM ST SEGMENT DEP,Placebo,count,quantify,_ALL_,4,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM ST SEGMENT DEP,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM ST SEGMENT DEP,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM T WAVE AMPLITU,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM T WAVE AMPLITU,Placebo,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM T WAVE AMPLITU,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM T WAVE AMPLITU,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM T WAVE INVERSI,Placebo,countdistinct,usubjid,_ALL_,2,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM T WAVE INVERSI,Placebo,count,quantify,_ALL_,3,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM T WAVE INVERSI,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM T WAVE INVERSI,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM T WAVE INVERSI,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,ELECTROCARDIOGRAM T WAVE INVERSI,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,HEART RATE INCREASED,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,HEART RATE INCREASED,Placebo,count,quantify,_ALL_,2,
Y,Y,INVESTIGATIONS,HEART RATE IRREGULAR,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,HEART RATE IRREGULAR,Placebo,count,quantify,_ALL_,4,
Y,Y,INVESTIGATIONS,NASAL MUCOSA BIOPSY,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,NASAL MUCOSA BIOPSY,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,INVESTIGATIONS,WEIGHT DECREASED,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,INVESTIGATIONS,WEIGHT DECREASED,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,METABOLISM AND NUTRITION DISORDE,DECREASED APPETITE,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,DECREASED APPETITE,Placebo,count,quantify,_ALL_,2,
Y,Y,METABOLISM AND NUTRITION DISORDE,DECREASED APPETITE,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,DECREASED APPETITE,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,METABOLISM AND NUTRITION DISORDE,DEHYDRATION,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,DEHYDRATION,Placebo,count,quantify,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,DIABETES MELLITUS,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,DIABETES MELLITUS,Placebo,count,quantify,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,FOOD CRAVING,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,FOOD CRAVING,Placebo,count,quantify,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,FOOD CRAVING,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,FOOD CRAVING,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,HYPONATRAEMIA,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,HYPONATRAEMIA,Placebo,count,quantify,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,INCREASED APPETITE,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,INCREASED APPETITE,Placebo,count,quantify,_ALL_,2,
Y,Y,METABOLISM AND NUTRITION DISORDE,INCREASED APPETITE,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,METABOLISM AND NUTRITION DISORDE,INCREASED APPETITE,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,ARTHRALGIA,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,ARTHRALGIA,Placebo,count,quantify,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,ARTHRALGIA,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,ARTHRALGIA,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,ARTHRALGIA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,ARTHRALGIA,Xanomeline Low Dose,count,quantify,_ALL_,4,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,ARTHRITIS,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,ARTHRITIS,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,BACK PAIN,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,BACK PAIN,Placebo,count,quantify,_ALL_,2,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,BACK PAIN,Xanomeline High Dose,countdistinct,usubjid,_ALL_,3,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,BACK PAIN,Xanomeline High Dose,count,quantify,_ALL_,4,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,BACK PAIN,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,BACK PAIN,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,FLANK PAIN,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,FLANK PAIN,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,MUSCLE SPASMS,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,MUSCLE SPASMS,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,MUSCLE SPASMS,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,MUSCLE SPASMS,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,MUSCULAR WEAKNESS,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,MUSCULAR WEAKNESS,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,MYALGIA,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,MYALGIA,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,PAIN IN EXTREMITY,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,PAIN IN EXTREMITY,Placebo,count,quantify,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,SHOULDER PAIN,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,SHOULDER PAIN,Placebo,count,quantify,_ALL_,2,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,SHOULDER PAIN,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,MUSCULOSKELETAL AND CONNECTIVE T,SHOULDER PAIN,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,"NEOPLASMS BENIGN, MALIGNANT AND",COLON CANCER,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,"NEOPLASMS BENIGN, MALIGNANT AND",COLON CANCER,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,"NEOPLASMS BENIGN, MALIGNANT AND",MALIGNANT FIBROUS HISTIOCYTOMA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,"NEOPLASMS BENIGN, MALIGNANT AND",MALIGNANT FIBROUS HISTIOCYTOMA,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,"NEOPLASMS BENIGN, MALIGNANT AND",PROSTATE CANCER,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
